date,tweet_id,text,year
2021-02-04 02:18:30+00:00,1357151516428099587,is nars blush any good? sunnies face blush doesn’t last long on my cheeks 🥲,2021
2021-02-03 18:48:46+00:00,1357038337396142081,Lmfaoooooooo “can I sample deep throat” 😒😂 I feel like the creative directors have to be gay. Lol only the gays would come up with some over the top ass Names of lipsticks. Orgasm blush was my fav from Nars. https://t.co/JF4SCO3izY,2021
2021-02-03 14:41:58+00:00,1356976226431197184,"ㅤㅤ 
Category is face and I won. 

Pictorial of me for NARS x Elle is out! On these pictures, I applied NARS Air Matte Blush on my cheeks. As you can see, the shades named ‘Darling’, ‘Hushed’ and ‘Orgasm’. Coming to you soon!
ㅤㅤ https://t.co/tiLEMCCbL9",2021
2021-02-03 14:36:55+00:00,1356974955666284546,Have you heard about the NARS orgasm blush? https://t.co/gTIVDfSlC7,2021
2021-02-03 02:19:32+00:00,1356789387451789312,"020221 : ELLE KOREA - LEEHI X NARS 'Dear. Darling' air matte blush

Full https://t.co/lo7unzE7eq

#AOMG #LEEHI #이하이 https://t.co/YkfQSOd7RC",2021
2021-02-02 23:44:23+00:00,1356750342835298316,"New post on my instagram Makeupbybiha using @hudabeauty @MonaKattan mercury retrograde palette 
@NARSCosmetics super orgasm blush 

#huda #hudabeauty #nars https://t.co/I4HhLd73gW",2021
2021-02-02 18:44:46+00:00,1356674940527853571,"@youngjoflexer Patrick ta, Nars, and Becca are my fave brands for blush ☺️☺️☺️",2021
2021-02-02 16:54:01+00:00,1356647070086672391,NARS Orgasm Air Matte Blush Review &amp; Swatches https://t.co/wGqqlbDQXo,2021
2021-02-02 12:01:40+00:00,1356573496244006912,"⠀
‘Dear. Darling’ a video for NARS Air Matte Blush NARS is now up! Watch me wearing all of the shades on to my face, and choose one that suit your likings!
⠀ https://t.co/E64Yt8LJr0",2021
2021-02-02 09:49:54+00:00,1356540339079704576,"[VID] 020221 : ELLE KOREA - LEEHI X NARS 'Dear. Darling' air matte blush

Full https://t.co/JQYxtdm6zt

#AOMG #LEEHI #이하이 https://t.co/LYdAPwWMJL",2021
2021-02-01 23:25:08+00:00,1356383112255729665,"New post on my instagram Makeupbybiha using @fentybeauty snap shadows in 1 true neutrals &amp; diamond bomb highlighter in how many carats?@NyxCosmetics @NYXCosmetics_UK epic liner in white
@NARSCosmetics super orgasm blush #fentybeauty #nyx #nyxcosmetics #NARS https://t.co/PAUO9DUaWr",2021
2021-02-01 16:03:34+00:00,1356271985421135872,Nars Blush https://t.co/V5yYLMB23w,2021
2021-02-01 16:00:15+00:00,1356271152201687046,"In with the new. Discover Air Matte Lip Color + Air Matte Blush, available now @ultabeauty: https://t.co/mnTwJTTRPb https://t.co/AoZXIpsNU8",2021
2021-02-01 15:01:56+00:00,1356256477040795657,New on the blog -- NARS Scandalous Air Matte Blush Review &amp; Swatches -- Read now:  https://t.co/zGPOr6MfPg https://t.co/bZYGfN65Zy,2021
2021-02-01 10:13:38+00:00,1356183923651440646,NARS Orgasm Blush Limited Edition https://t.co/nKD9wt9b9C,2021
2021-02-01 03:37:36+00:00,1356084256682831872,"Our Sun Shimmer blush is said by our BCN fam to be a major clean dupe for the Nars Orgasm color. A slightly golden hue in a perfectly pink setting, it’s definitely a fan favorite. 😍.
.
.
.
.
.
#beautycarenaturals  #bcn #cleanbeauty #cleanbeautydupes #cleancosmetics #nontoxic https://t.co/kWIjcnjp1G",2021
2021-01-31 21:40:48+00:00,1355994467925454848,NARS Orgasm Air Matte Blush Review &amp; Swatches https://t.co/HzaF2y8uAf,2021
2021-01-31 20:15:05+00:00,1355972894162120713,NARS Orgasm Air Matte Blush Review &amp; Swatches https://t.co/46nDqpjoBE,2021
2021-01-31 20:01:29+00:00,1355969473098997760,New on the blog -- NARS Orgasm Air Matte Blush Review &amp; Swatches -- Read now:  https://t.co/8EaqQZgmfT https://t.co/EIGW17fjGY,2021
2021-01-31 15:32:07+00:00,1355901683574988805,"@nazz_u Nars fervor, I mix the two shades together it’s so cute and pretty. I still need to find the perfect orangey blush tho😩😩",2021
2021-01-31 09:20:25+00:00,1355808142890684416,"And now discovering that it contains my Nars blush ons, cloud paints, mac lippies, and my fave sunnies lippies, ABH pomade, and brushes 😭😭😭😭",2021
2021-01-31 03:13:03+00:00,1355715693119987712,Obsessed with the @NARSCosmetics eyeshadows😍 #makeupartist #makeup #nars #narssheerglow #narsblush #firstaidbeauty #AnastasiaBeverlyHills #coverfx #beccahighlighter #Morphe #blendtherules https://t.co/BzbGSc0Tfd,2021
2021-01-31 02:00:45+00:00,1355697496186515457,@skzlovrs nars concealer hoola bronzer elf blush benefit highlighter glossier lip gloss stella eyeliner MOST OF THESE THINGS ARE FROM SEPHORA,2021
2021-01-31 01:38:08+00:00,1355691806625734657,@louiscumsocks FINE. concealer (my fav nars) bronzer (my fav hoola benefit) blush highlighter eyeliner lashes lip gloss brushes like a fluffy brush bronzer contour brush etc,2021
2021-01-30 20:44:53+00:00,1355618005569261569,@parachutesasf OMG YAY FUN ok to start off ur gonna need a good concealer which i recommend the nars one then obvi a beauty blender then a bronzer i say the benefit hoola one then a blush any kind and a highlighter lip gloss the glossier one is very good EYELINER ANY KIND IS GOOD,2021
2021-01-29 20:45:52+00:00,1355255865675145221,Check out what I just added to my closet on Poshmark: NEW NARS HIGHLIGHTING BLUSH POWDER .16oz. https://t.co/zu59KD6vyb via @poshmarkapp #shopmycloset,2021
2021-01-29 20:13:33+00:00,1355247734593212417,"@xiaokaeluc @nitanukii I havent heard of this brand in my country before :o
 I think mac cream blush is pretty good for nars price range, it glide on nicely and very pigmented, personally i would go for peach tone cuz yellow undertone 🥰 pink hates me 😂",2021
2021-01-29 20:11:18+00:00,1355247166617497603,@xiaokaeluc @MGPH__ i heard good things about em cosmetics.. 💕❤️♥️ want to try it out soon.. 💕❤️♥️ if only the nars one have better pigments.. sigh.. could've gone ham putting blush on..,2021
2021-01-29 20:02:20+00:00,1355244908689416199,"sorry to anyone who likes the blush... this is a personal opinion and it's a hill i'll die on... feel free to not fight me to the death.. the only thing maybe okay-ish about nars is the concealer but even then, u could get one better at a cheaper price",2021
2021-01-29 20:01:16+00:00,1355244643047378950,i said what i said nars orgasm blush is for ppl with no pigment maybe thats what YOU look like when you cum not ME the blush itself is BORING and BLAND and OVERPRICED,2021
2021-01-29 19:56:56+00:00,1355243549634260996,@xiaokaeluc ure right and u should say it.. nars orgasm blush overhyped and boring... society have moved past the need for nars orgasm blush.. the pigment arent even good!!! this isnt what i look like when i cum!!!!,2021
2021-01-29 16:41:37+00:00,1355194400087879680,"Just a lil reminder that 85% of my kit is nars 💕
Radiant creamy + orgasm blush https://t.co/TeYH9ESd29",2021
2021-01-29 16:35:56+00:00,1355192968639033344,"Dolce &amp; Gabbana bustier $670
Carolina Herrera belt $459
Alexandre de Paris bows $106
Ben Nye cream-blue spirit $9
NYX setting powder $10
Nars blush-coeur battant $15
Stila liner $20
Doll Beauty lashes-coco $11
Morphe lipstick-lover $10
MISSHA brow pencil-black $5 https://t.co/gP8o9F7NlZ",2021
2021-01-29 01:18:22+00:00,1354962053870489600,"@jennineak Stand outs for me are makeup forever foundation, benefit they’re real mascara and nars orgasm blush.",2021
2021-01-29 00:13:36+00:00,1354945757477019663,"@jennineak oh i don’t wear eyeshadow, i really love the glossier blush it’s liquid and so pretty (and dewy), l’oréal telescopic carbon black mascara is amazing, and the new nars foundation goes on like second skin but pictures so nicely",2021
2021-01-28 16:16:57+00:00,1354825801515065345,"@NARSCosmetics If you want great blush, go to NARS Cosmetics!",2021
2021-01-28 16:00:15+00:00,1354821599749238789,"“She always says blush is a woman’s best accessory.” —François Nars, Founder &amp; Creative Director, on mother and muse Claudette.

Shop the Claudette Cheek Duo now: https://t.co/3HmH4APZuo https://t.co/FBXKLStGBm",2021
