date,tweet_id,text,year,contains_word
2018-12-31 03:57:48+00:00,1079587398298685441,"@womanfeeds Bb cream/foundie : it cosmetics cc cream
Blush on : nars &amp; glossier 
Loose/compact powder : blp &amp; laura mercier 
Alis : benefit 
Mascara : kiss me &amp; benefit &amp; glossier 
Liptint/lipstick/lip cream : dior, make over , nars 
Bronzer : benefit",2018,False
2018-12-30 10:37:40+00:00,1079325642661871617,"You're not worth my tears. I wore fucking nars blush, and i wont ruin it with my tears run over it.. Ty, next.",2018,False
2018-12-30 03:24:02+00:00,1079216515969372160,@equestrian_poll I love NARS for blush but Estée Lauder has the best foundation! I use Double Wear and it’s extremely light but still has good coverage. I blend it with a sponge.,2018,False
2018-12-30 00:38:02+00:00,1079174739040526336,"@womanfeeds Liptint : mayb, emina, etude, BLP lipstain
Loose powder : RCMA atauga airspun
Maskara : mayb total temptation, lash paradise, mayb hypercurl
Blush on : makeover, emina, nyx, mayb, colourpop, milani, focallure dan lupa
Foundation : mayb, makeover, nars",2018,False
2018-12-30 00:17:20+00:00,1079169528951721985,@Angeschka For sure. People hated that NARS Hot Tryst palette bc the blushes “weren’t pigmented.” This was a huge selling point for my pale ass who does not *want* a super pigmented blush. (But then it was sold out everywhere and I’m so sad I missed it!!! 😣😣😣 Still sad about it.),2018,False
2018-12-29 15:51:55+00:00,1079042335286030336,"@womanfeeds Liptint : liptone get it tint
Loose powder : ponds bb
Maskara : loreal lash paradise 
Blush on : pake liptint lol
Foundation : nars radiant longwear, maybelline poreless matte
Thank you!💕",2018,False
2018-12-29 15:17:08+00:00,1079033585410048000,"@womanfeeds Liptint : dior lip tattoo
Loose powder : blp/ laura mercier
Maskara : benefit bad gal sama kiss me heroine 
Blush on : 3ce/ nars 
Foundation : estee lauder",2018,False
2018-12-29 04:40:02+00:00,1078873253299535873,@BobbyMalito @malwareunicorn @Crayola oh bobby you haven’t heard of the NARS color names then....you’d never believe what my blush is called!,2018,False
2018-12-28 21:20:35+00:00,1078762662333423617,for blush i use the Nars dual toned blush in the shade ‘ferevor’. i use this blush because it’s easy to apply and it’s every close to my natural blush shade.,2018,False
2018-12-28 20:32:00+00:00,1078750435823869952,@raphlumbroso .....honestly? the nars orgasm blush.,2018,False
2018-12-28 19:26:48+00:00,1078734028256071680,"@molliekatie @asunflowerpose Aw, shucks 😊I have asked and she said “it’s Finnish and you can get it at cvs” which is not really all that helpful. But I know smashbox photo finish primer and nars blush stick in orgasm are the main makeup things!",2018,False
2018-12-28 01:26:47+00:00,1078462230868385793,"*he touches my cheek* 
My subtle contour is on your hand now. That’s tom ford foundation and blush with Laguna by Nars and Becca bronzer",2018,False
2018-12-27 23:50:20+00:00,1078437959311941632,was feeling really stunty and gorgeous in my new nars orgasm blush until my dad yelled from across the room “WHY IS YOUR FACE ORANGE”,2018,False
2018-12-27 02:39:50+00:00,1078118228751134720,@jackieaina Dark bronzers and blush with nars,2018,False
2018-12-26 19:36:18+00:00,1078011640107421696,"@ifollowedfires @brittania_ Britt has a tarte highlighter palette that she loooves. I’ve been using an urban decay primer that I like a lot. I’ve got the NARS orgasm blush and it’s a classic. I second Kelly’s lipstick recs, she’s a lipstick pro.",2018,False
2018-12-26 16:07:59+00:00,1077959217766486016,"BLUSH
NARS blush in oasis ($30)&lt;&lt;&lt;&lt;&lt;&lt; elf blush in blushing rose ($3)

HIGHLIGHTER 
benefit watt’s up cream highlighter ($30)&lt;&lt;&lt;&lt;&lt;&lt; sonia kashuk chic luminosity highlighter stick ($11)",2018,False
2018-12-26 00:43:58+00:00,1077726682449092608,Got my second PopLuxe highlighter for Christmas in Double Life! I can highlight with it or use it as a blush topper! @OfficialNadi Double Life is EVERYTHING I wanted Nars orgasm to be but wasn’t! If you sleep on PopLuxe highlighters you are missing out peeps!,2018,False
2018-12-25 17:09:16+00:00,1077612251182317568,"Will take this opportunity to re-endorse the Charlotte Gainsbourg Nars Multiple aka the blush for people with a baseline 'you look tired/pale' complexion, for days when we look especially that way.",2018,False
2018-12-25 08:02:05+00:00,1077474549942362114,so I'm debating whether if to get this nars blush with the christmas money I got or just keep my@money 💀💀,2018,False
2018-12-24 20:30:09+00:00,1077300416713437187,Good thing- finding awesome sparkly Nars blush that I really want. Best thing- it’s sold out and it’s $30 and I don’t need it. But so pretty,2018,False
2018-12-24 20:22:29+00:00,1077298487669215234,@rawrwithsound I’m just assuming that Nars blush is “Orgasm”?,2018,False
2018-12-24 17:16:55+00:00,1077251788661813249,i got the too faced chocolate bar palette and sweet peach glow im 💗💖💓 and also a fenty lipstick and nars blush,2018,False
2018-12-24 17:08:12+00:00,1077249594998743041,@womanfeeds NARS CREAM BLUSH UGHH,2018,False
2018-12-24 06:09:05+00:00,1077083724632584192,@xonecole The iconic Taj Mahal blush from NARS was made specifically to compliment Naomi Campbell’s skin and she wears it almost exclusively.,2018,False
2018-12-24 03:53:49+00:00,1077049680301821952,"@LIBGyal To achieve this look I would use:
-NYX Honey Dew Me Up primer
-Nars Radiant Longwear foundation
-Tarte Shape Tape Concealer
-Milani Baked blush
-Makeup Revolution Strobe highlighter
-Beauty Bakerie's Coffee &amp; Cocoa bronzer palette
-Juvia's Place The Warrior eyeshadow palette",2018,False
2018-12-24 01:10:03+00:00,1077008469591556096,Tempted to buy a nars blush...,2018,False
2018-12-23 23:58:21+00:00,1076990427033530369,my nars liquid blush spilled 😞😞👌👌,2018,False
2018-12-23 20:47:46+00:00,1076942461392637952,"@maridahdotcom ""She had no choice but to cry. Her Fenty flyliner, though advertised as being waterproof, began to mix with her tears and they traveled down her cheeks which ended up soiling the passion pink color of her Orgasm blush from Nars.""",2018,False
2018-12-23 20:38:48+00:00,1076940207448936448,@reham_shamekh Hourglass bronzer and a nars blush!!!,2018,False
2018-12-23 19:25:47+00:00,1076921829774639104,"I never mentioned my own favorite items that i will buy no matter how $$- UGG boots, Marc Jacobs foundation, NARS blush &amp; bronzer, my ysl perfume, pouches for my kids, hobo wallets, salon hair products, boujee candles, lulu leggings, HEINZ ketchup, perfect bars and one bars lol",2018,False
2018-12-23 17:12:11+00:00,1076888209097920512,"Then a youtuber, who was one of the only Black beauty bloggers on youtube (blanking on her name) at the time, put me on to their blush. And Ive been wearing NARS blush exclusively since lol",2018,False
2018-12-23 05:15:35+00:00,1076707870375170049,"•NARS concealers 
•Marc Jacobs foundation/primer
•Too Faced natural eyes palette 
•ABH glow kit
•Two Faced better than sex mascara 
•ABH liquid lipstick 
•Urban Decay all nighter setting spray 
•KVD contour palette 
•NARS blush 
•Too Faced blush",2018,False
2018-12-23 00:04:08+00:00,1076629490955182080,@yonseh from the nars blush palette!,2018,False
2018-12-22 19:20:58+00:00,1076558233400209408,"@ronkelawal Prettu sure shes demanding more than Beyonce axtually. Theres a reason they go gor influrncers now, give them some tacky bag, go on discounted trips, no supermodel will accept that shit. Im glad Nars will be her first, Taj Mahal blush was made with her in mind afterall",2018,False
2018-12-19 23:17:46+00:00,1075530662424256512,Ps: it was not comfy to tell her I was wearing Nars Orgasm blush.,2018,False
