date,tweet_id,text,year,contains_word,text_preprocessed,length
2015-09-12 16:04:18+00:00,6.43e+17,"I visited NARS at KLCC earlier, they have taken the name of the blush off because someone ""complained"" that the name was offensive",2015,False,"I visited  at KLCC earlier, they have taken the name of the  off because someone ""complained"" that the name was offensive",21
2015-09-12 16:03:29+00:00,6.43e+17,"Makeup brand NARS has a very famous blush named Orgasm, it's coveted as being a blush suitable for everyone regardless of skin color",2015,False,"Makeup brand  has a very famous  named Orgasm, it's coveted as being a  suitable for everyone regardless of skin color",20
2015-09-12 15:42:10+00:00,6.43e+17,The Nars Orgasm blush lives up to the hype! If you don't wanna spend the mula get a travel size or I'm pretty sure there's a dupe out there!,2015,False,The  Orgasm  lives up to the hype! If you don't wanna spend the mula get a travel size or I'm pretty sure there's a dupe out there!,27
2015-09-12 07:21:48+00:00,6.43e+17,"The shoes are Christian Louboutin Follies Strass pumps, my diamond ring is by bvlgari and underneath my mask I'm wearing Nars Orgasm blush",2015,False,"The shoes are Christian Louboutin Follies Strass pumps, my diamond ring is by bvlgari and underneath my mask I'm wearing  Orgasm",21
2015-09-12 01:39:54+00:00,6.43e+17,@DarcyCalder that just happened to me with a NARS blush. Literally 50$ in a palette. I feel your pain,2015,False,that just happened to me with a  . Literally $ in a palette. I feel your pain,17
2015-09-09 16:08:20+00:00,6.42e+17,Rly want the nars contour blush,2015,False,Rly want the  contour,4
2015-09-09 14:12:00+00:00,6.42e+17,The worst part about this bad hair dye job is that I can't wear my favorite NARS blush. 😪,2015,False,The worst part about this bad hair dye job is that I can't wear my favorite  . 😪,18
2015-09-09 01:37:57+00:00,6.41e+17,@dram4queen highlight was NARS Dual Intensity blush duo in Jubilation. I by accident write KVD on the graphic text WOOPS 🙅🏻,2015,False,highlight was  Dual Intensity  duo in Jubilation. I by accident write KVD on the graphic text WOOPS 🙅🏻,18
2015-09-08 18:12:46+00:00,6.41e+17,I really wanna buy the NARS Tahiti Laguna Bronzer &amp; the Highlighting Blush 😻🙀,2015,False,I really wanna buy the  Tahiti Laguna Bronzer & the Highlighting Blush 😻🙀,13
2015-09-08 04:14:09+00:00,6.41e+17,so today i got a becca highlight and nars blush now i need kat von d's tattoo linerrrrrr,2015,False,so today i got a becca highlight and   now i need kat von d's tattoo linerrrrrr,16
2015-09-08 00:26:47+00:00,6.41e+17,Nars Raisin blush is 💜,2015,False,Raisin  is 💜,3
2015-09-07 23:44:03+00:00,6.41e+17,"@purplebull7 @WithTheBanned Urban Decay foundation, Nars consealer, and some sort of bronzer + Nars ""orgasm"" blush lmao",2015,False,"Urban Decay foundation,  consealer, and some sort of bronzer +  ""orgasm""  lmao",12
2015-09-07 17:12:05+00:00,6.41e+17,Im buying a NARS blush today: lit,2015,False,Im buying a   today: lit,5
2015-09-07 16:19:26+00:00,6.41e+17,@thesecretboard1 I have Nars blush in Super Orgasm. It's got beautiful sparkles in but you don't look like a disco ball wearing it!,2015,False,I have   in Super Orgasm. It's got beautiful sparkles in but you don't look like a disco ball wearing it!,20
2015-09-07 04:22:50+00:00,6.41e+17,"@KarlissaFirman Benefit Hula Bronzer. Nars Orgasm Blush. Loreal visible lift CC cream. Loreal true match lumi in ""Rose"". Rimmel stay matte",2015,False,"Benefit Hula Bronzer.  Orgasm Blush. Loreal visible lift CC cream. Loreal true match lumi in ""Rose"". Rimmel stay matte",19
2015-09-07 02:13:27+00:00,6.41e+17,Completely shattered my NARS blush today 😠 Ordered one from Tarte instead... needed a change. Hope it's good *fingers crossed*,2015,False,Completely shattered my   today 😠 Ordered one from Tarte instead... needed a change. Hope it's good *fingers crossed*,18
2015-09-07 01:41:08+00:00,6.41e+17,"I'd like to give a special shout out to Nars ""Orgasm"" blush for giving me CRAZY AMOUNTS OF SELF-CONFIDENCE THIS WEEKEND.",2015,False,"I'd like to give a special shout out to  ""Orgasm""  for giving me CRAZY AMOUNTS OF SELF-CONFIDENCE THIS WEEKEND.",19
2015-09-06 21:57:27+00:00,6.41e+17,"""Without such an audacious name, I don't know if it would have become so iconic"" -François Nars on 'Orgasm' blush. 💓💋💅🏻 @Cosmopolitan",2015,False,"""Without such an audacious name, I don't know if it would have become so iconic"" -François  on 'Orgasm' . 💓💋💅🏻",20
2015-09-06 20:18:34+00:00,6.41e+17,@taoofcolor orgasm by nars! Or any orange toned blush is cute on tan skin tones :),2015,False,orgasm by ! Or any orange toned  is cute on tan skin tones :),14
2015-09-06 19:23:06+00:00,6.41e+17,@jasminetalksblg the sleek rose gold blush a dupe for Nars. Personally I adore the Nars so much more,2015,False,the sleek rose gold  a dupe for . Personally I adore the  so much more,15
2015-09-06 10:38:48+00:00,6.4e+17,@BethhNorgrove I know creme brûlée and marzipan are my faves. I also got a Nars blush 😏,2015,False,I know creme brûlée and marzipan are my faves. I also got a   😏,14
2015-09-06 04:51:21+00:00,6.4e+17,why didn't I have the Nars blush 'Madly' in my life earlier!! Srsly obsessed 😍,2015,False,why didn't I have the   'Madly' in my life earlier!! Srsly obsessed 😍,13
2015-09-05 19:49:09+00:00,6.4e+17,@keri_lowe and blush and bronzer is Def Nars orgasm/laguna you can get a combo so it has both in it,2015,False,and  and bronzer is Def  orgasm/laguna you can get a combo so it has both in it,17
2015-09-05 18:52:01+00:00,6.4e+17,@MeguanaBlog I love Illamasqua Naked Rose and Nars Sin is lovely for a darker blush #everyblogger,2015,False,I love Illamasqua Naked Rose and  Sin is lovely for a darker  everyblogger,13
2015-09-04 23:25:50+00:00,6.4e+17,It's a good day when you buy makeup and NARS gives you free blush💁🏼,2015,False,It's a good day when you buy makeup and  gives you free 💁🏼,13
2015-09-04 22:59:44+00:00,6.4e+17,"If anyone happens to be selling NARS orgasm blush, let me know! #bbloggers",2015,False,"If anyone happens to be selling  orgasm , let me know! bbloggers",12
2015-09-04 18:46:43+00:00,6.4e+17,Really want this NARS blush. Really want to put gas in my vehicle this week. Decisions.,2015,False,Really want this  . Really want to put gas in my vehicle this week. Decisions.,15
2015-09-04 15:31:29+00:00,6.4e+17,Does anyone have the NARS orgasm blush? #bbloggers,2015,False,Does anyone have the  orgasm ? bbloggers,7
2015-09-04 14:53:08+00:00,6.4e+17,"High-key want my Naked, Naked3, and Nars Duo Blush/Bronzer pallets back:-)))))))))))))))",2015,False,"High-key want my Naked, Naked, and  Duo Blush/Bronzer pallets back:-)))))))))))))))",10
2015-09-04 01:25:53+00:00,6.4e+17,"In happier news, I successfully depotted a NARS blush.",2015,False,"In happier news, I successfully depotted a  .",8
2015-09-04 00:40:07+00:00,6.4e+17,When Cj's mom gives me NARS blush lipstick and liquid eyeliner and a Burberry and ferragamo perfume like this is love 💗💗💗💗,2015,False,When Cj's mom gives me   lipstick and liquid eyeliner and a Burberry and ferragamo perfume like this is love 💗💗💗💗,20
2015-09-04 00:16:28+00:00,6.4e+17,"I officially own MAC foundation, concealer, lipstick and NARS ""Orgasm"" blush. Am I real girl now?",2015,False,"I officially own MAC foundation, concealer, lipstick and  ""Orgasm"" . Am I real girl now?",15
2015-09-03 14:56:13+00:00,6.39e+17,"Personally, I prefer Orgasm to Deep throat. #NarsBlush",2015,False,"Personally, I prefer Orgasm to Deep throat. Blush",8
2015-09-03 14:53:44+00:00,6.39e+17,"Picturing myself trying Nars blush at counter and the BA say 'If you don't like this color, try Deep Throat instead'. *pretty awkward*",2015,False,"Picturing myself trying   at counter and the BA say 'If you don't like this color, try Deep Throat instead'. *pretty awkward*",21
2015-09-03 02:33:05+00:00,6.39e+17,"@foreveryours072 please do a tutorial with the Nars ""outlaw"" blush. It looks amazing!",2015,False,"please do a tutorial with the  ""outlaw"" . It looks amazing!",11
