date,tweet_id,text,year
2017-12-31 21:01:01+00:00,947573329204039680,@RaevynnTalia Yes love!!! I like to try out new bronzers I have a few favorites but I LOVE NARS blush😍,2017
2017-12-31 14:57:56+00:00,947481957432283137,"before I go and spend 35$ on a NARS blush, has anybody tried it &amp; if so do you think it was worth the price ?",2017
2017-12-31 07:41:35+00:00,947372147521081344,“Orgasm” by NARS First blush I ever used.. back when the name made me giggle.. … https://t.co/fRSq62wnQa https://t.co/l2MnhMkHgc,2017
2017-12-31 03:14:04+00:00,947304824101593088,"@NARSCosmetics Foundation Stick &amp; Concealer. @ABHcosmetics Contour Kit. @tartecosmetics Paaarty Blush, Toasted Palette, Chrome Paint Pot, Brow Pencil, Brow Mousse, &amp; Quick Dry Lip Paint. @LancomeUSA Highlighter &amp; Monseiur Big Mascara. #NARS #abhfam #TARTE #lancome #mua https://t.co/zQZkbMXCMO",2017
2017-12-31 02:51:21+00:00,947299104215924736,@pickmanyabean @Sephora I BOUGHT A FENTY BEAUTY CONTOUR/CONCEAL/HIGHLIGHT TRIO AND THE NARS ORGASM BLUSH,2017
2017-12-31 02:42:19+00:00,947296831452696577,I only have one blush and that’s Orgasm by Nars and it’s probably the only one I’ll ever own lol,2017
2017-12-30 06:52:13+00:00,946997336084955136,"@SOnufrichuk The new Huda pallet, it’s an investment but defs worth it. Orgasm blush by Nars or the tarte party blush",2017
2017-12-30 03:00:40+00:00,946939062300151809,"@paintdrunk infallible pro glow foundation/colourpop no filter concealer/ulta cool matte bronzer/nars blush in “liberte”/bh cosmetics wild &amp; radiant palette for highlight/morphe jaclyn hill palette on the eyes/milani lipstick in nude creme 

boom. 💖",2017
2017-12-29 18:58:10+00:00,946817636616327168,"Nars mini ‘orgasm’ set , an extreamly cute small size of the very popular @narsissist blush and… https://t.co/HVYnGhbZK7",2017
2017-12-29 16:52:56+00:00,946786123568705536,"Best purchases i've made in my life would be my car, ipad mini 4, mia exfoliator brush, long padding jacket, crash bandicoot game, nars (orgasm) blush, face steamer and the google home mini ☆😄",2017
2017-12-29 16:23:06+00:00,946778614539915264,"@emilynoel83 Naked3 palette and Nars Orgasm blush. Zero pigmentation in either, way overhyped for what they are (and the price tag).",2017
2017-12-29 16:18:50+00:00,946777539699081216,I just added this to my closet on Poshmark: NARS mini blush Goulue. https://t.co/qeGt3GGaTg via @poshmarkapp #shopmycloset,2017
