year_new,vader,subjectivity
2008,0.3710947368421052,0.45923710792131844
2009,0.37262551867219923,0.47560311878646955
2010,0.36392996083550916,0.4903373823799735
2011,0.31497834507042277,0.483622901037734
2012,0.3143415627996168,0.47115913548296173
2013,0.2652029714285715,0.4555145033670036
2014,0.2741533134328359,0.43907390107405064
2015,0.253708027923211,0.426395619360279
2016,0.25301290000000015,0.41933704573204567
2017,0.23117628398791545,0.4135574361439164
2018,0.30757123893805305,0.42992320083539004
2019,0.3427577411167511,0.42577919342914355
2020,0.36075695754717013,0.42265056425687547
